word,x_values,y_values
3.7325351,3.7325351,-9.189934
4.7236094,4.7236094,44.87614
3.0868564,3.0868564,9.837919
20.1715,20.1715,2.4136655
13.966799,13.966799,-0.5504634
15.104623,15.104623,-3.3645172
9.444047,9.444047,3.3483257
-4.671727,-4.671727,2.2402902
29.366581,29.366581,-4.321635
29.558636,29.558636,-7.6535544
8.724597,8.724597,-3.9092093
16.47456,16.47456,-9.606821
27.765055,27.765055,2.214987
26.698997,26.698997,-5.24241
-14.910152,-14.910152,32.229076
13.369315,13.369315,5.0153117
9.636377,9.636377,-12.613654
1.2812572,1.2812572,0.310722
23.683586,23.683586,-0.39241722
13.654877,13.654877,20.425367
10.995199,10.995199,-1.2091045
10.602359,10.602359,-7.101419
24.34898,24.34898,-1.4745166
25.62635,25.62635,-3.166402
16.831312,16.831312,-8.309568
-2.897166,-2.897166,-0.28474662
28.891863,28.891863,-8.687894
25.716608,25.716608,-2.5863729
21.726416,21.726416,-6.1948276
14.44549,14.44549,-13.789851
6.7850204,6.7850204,-1.0858407
14.778534,14.778534,-7.578197
13.401891,13.401891,-0.9533074
7.965816,7.965816,-11.588512
-0.67326707,-0.67326707,-2.9017923
11.923097,11.923097,2.645357
-8.932316,-8.932316,3.5947306
16.393293,16.393293,-1.9146465
18.013834,18.013834,1.674874
17.07738,17.07738,8.80704
26.61074,26.61074,-5.1167264
22.72391,22.72391,-14.842887
28.731627,28.731627,-5.374061
22.14649,22.14649,0.38830748
15.125527,15.125527,-6.895751
16.71686,16.71686,10.282391
21.406265,21.406265,-7.012282
-3.6148198,-3.6148198,14.9417
16.603659,16.603659,-3.9002225
5.7351565,5.7351565,4.3010864
8.783153,8.783153,0.87292135
24.539675,24.539675,2.2109547
-10.295618,-10.295618,28.373032
23.125244,23.125244,-4.6954346
21.038605,21.038605,6.914763
20.889345,20.889345,14.48786
21.317347,21.317347,-7.4468274
27.73042,27.73042,-3.3078613
19.037264,19.037264,-6.788482
4.8590364,4.8590364,17.758879
-18.097605,-18.097605,36.710587
19.686636,19.686636,-9.831009
-0.20920242,-0.20920242,-8.077498
26.865913,26.865913,-2.2006557
3.3482726,3.3482726,17.49647
13.77605,13.77605,1.4833663
22.775242,22.775242,-1.1779994
25.801785,25.801785,-2.5412734
25.220018,25.220018,-4.5271072
13.20582,13.20582,-13.184735
23.835136,23.835136,-13.875957
12.068301,12.068301,-7.348025
28.337074,28.337074,-10.894991
9.231376,9.231376,-4.7963867
24.07546,24.07546,0.60386765
10.09084,10.09084,8.688811
12.891922,12.891922,-4.5926843
15.187082,15.187082,-4.835864
-0.19880725,-0.19880725,13.82801
19.219318,19.219318,-8.492357
23.538624,23.538624,-11.412028
21.502611,21.502611,1.0104882
17.937946,17.937946,6.3294277
11.871385,11.871385,2.805041
18.571693,18.571693,3.1546564
6.2184167,6.2184167,1.310637
8.282345,8.282345,21.007172
19.41735,19.41735,3.9961915
17.654316,17.654316,-1.5212364
26.186255,26.186255,-0.036981404
12.117855,12.117855,-5.52692
10.563596,10.563596,-0.53384095
13.237338,13.237338,-5.597925
15.895456,15.895456,-9.508776
13.522627,13.522627,-7.488557
19.896193,19.896193,-7.999329
17.545109,17.545109,-2.0627315
21.68999,21.68999,-8.054647
1.2923417,1.2923417,4.3117857
14.242108,14.242108,-11.600348
16.831236,16.831236,-11.039457
24.311441,24.311441,-2.9286268
